Datetime,Heart Rate
2019-11-12 13:07:43,96
2019-11-12 13:07:53,94
2019-11-12 13:07:58,95
2019-11-12 13:08:03,97
2019-11-12 13:08:08,101
2019-11-12 13:08:13,111
2019-11-12 13:08:18,117
2019-11-12 13:08:23,118
2019-11-12 13:08:28,117
2019-11-12 13:08:33,114
2019-11-12 13:08:43,113
2019-11-12 13:08:48,110
2019-11-12 13:08:53,105
2019-11-12 13:08:58,101
2019-11-12 13:09:03,98
2019-11-12 13:09:08,97
2019-11-12 13:09:13,101
2019-11-12 13:09:18,110
2019-11-12 13:09:23,118
2019-11-12 13:09:28,121
2019-11-12 13:09:33,122
2019-11-12 13:09:38,123
2019-11-12 13:09:43,124
2019-11-12 13:09:48,126
2019-11-12 13:09:53,127
2019-11-12 13:09:58,126
2019-11-12 13:10:13,125
2019-11-12 13:10:18,123
2019-11-12 13:10:23,122
2019-11-12 13:10:28,121
2019-11-12 13:10:38,123
2019-11-12 13:10:43,125
2019-11-12 13:10:48,127
2019-11-12 13:10:53,128
2019-11-12 13:10:58,129
2019-11-12 13:11:03,130
2019-11-12 13:11:08,131
2019-11-12 13:11:18,133
2019-11-12 13:11:23,135
2019-11-12 13:11:38,133
2019-11-12 13:11:43,132
2019-11-12 13:11:48,133
2019-11-12 13:12:03,132
2019-11-12 13:12:08,130
2019-11-12 13:12:18,129
2019-11-12 13:12:28,128
2019-11-12 13:12:38,130
2019-11-12 13:12:43,132
2019-11-12 13:12:48,133
2019-11-12 13:12:53,134
2019-11-12 13:12:58,135
2019-11-12 13:13:03,136
2019-11-12 13:13:08,138
2019-11-12 13:13:13,139
2019-11-12 13:13:18,139
2019-11-12 13:13:23,140
2019-11-12 13:13:28,138
2019-11-12 13:13:33,135
2019-11-12 13:13:38,133
2019-11-12 13:13:43,131
2019-11-12 13:13:48,130
2019-11-12 13:13:53,129
2019-11-12 13:14:03,128
2019-11-12 13:14:18,129
2019-11-12 13:14:23,131
2019-11-12 13:14:28,134
2019-11-12 13:14:33,138
2019-11-12 13:14:38,141
2019-11-12 13:14:43,140
2019-11-12 13:14:48,139
2019-11-12 13:14:53,136
2019-11-12 13:14:58,134
2019-11-12 13:15:08,136
2019-11-12 13:15:18,137
